ID	Level	Time	Gas
1	20%	1	0.99
1	20%	2	0.95
1	20%	3	0.95
1	20%	8	0.5
1	20%	16	0.375
1	20%	33	0.225
1	20%	61	0.05
2	15%	1	0.999
2	15%	2	0.95
2	15%	3	0.9
2	15%	4	0.9
2	15%	12	0.55
2	15%	21	0.475
2	15%	29	0.25
2	15%	44	0.05
3	25%	1	0.99
3	25%	2	0.99
3	25%	3	0.95
3	25%	4	0.9
3	25%	7	0.875
3	25%	12	0.725
3	25%	15	0.725
3	25%	19	0.55
3	25%	25	0.5
3	25%	28	0.5
3	25%	31	0.5
4	20%	1	0.999
4	20%	10	0.85
4	20%	24	0.475
4	20%	30	0.5
4	20%	44	0.1
5	15%	2	0.6
5	15%	15	0.35
5	15%	22	0.3
6	20%	1	0.95
6	20%	4	0.85
6	20%	8	0.75
6	20%	22	0.45
7	20%	1	0.999
7	20%	3	0.999
7	20%	5	0.999
7	20%	8	0.999
7	20%	13	0.98
7	20%	21	0.75
7	20%	35	0.75
7	20%	54	0.7
8	25%	1	0.999
8	25%	9	0.975
8	25%	20	0.6
8	25%	49	0.1
9	25%	1	0.999
9	25%	2	0.999
9	25%	6	0.999
9	25%	12	0.999
9	25%	19	0.9
9	25%	25	0.85
10	20%	1	0.999
10	20%	2	0.999
10	20%	4	0.97
10	20%	13	0.95
10	20%	22	0.9
10	20%	34	0.825
11	20%	1	0.825
11	20%	2	0.75
11	20%	3	0.75
11	20%	9	0.775
11	20%	20	0.6
11	20%	30	0.3
11	20%	37	0.3
12	15%	1	0.4
12	15%	2	0.4
12	15%	3	0.3
12	15%	4	0.3
12	15%	18	0.3
13	20%	1	0.9
13	20%	3	0.9
13	20%	10	0.9
13	20%	24	0.6
14	15%	1	0.725
14	15%	11	0.65
14	15%	32	0.275
15	25%	3	0.4
15	25%	4	0.4
15	25%	8	0.4
15	25%	21	0.2
16	15%	1	0.999
16	15%	10	0.999
16	15%	24	0.85
16	15%	29	0.8
16	15%	36	0.75
17	20%	1	0.65
17	20%	2	0.55
17	20%	4	0.6
17	20%	13	0.25
17	20%	19	0.25
17	20%	31	0.225
18	25%	1	0.98
18	25%	2	0.98
18	25%	3	0.98
18	25%	4	0.9
18	25%	7	0.875
18	25%	10	0.775
18	25%	25	0.425
18	25%	31	0.375
18	25%	40	0.2
18	25%	47	0.175
18	25%	61	0.075
19	25%	1	0.825
19	25%	64	0.1
19	25%	67	0.1
20	25%	1	0.85
20	25%	2	0.85
20	25%	3	0.8
20	25%	4	0.875
20	25%	11	0.8
20	25%	40	0.425
21	25%	1	0.999
21	25%	3	0.999
21	25%	8	0.85
21	25%	15	0.8
21	25%	21	0.6
21	25%	31	0.2
22	15%	1	0.825
22	15%	6	0.75
22	15%	12	0.45
22	15%	26	0.15
23	25%	1	0.999
23	25%	9	0.95
23	25%	26	0.7
23	25%	33	0.4
23	25%	40	0.125
23	25%	44	0.15
23	25%	54	0.1
24	20%	1	0.999
24	20%	8	0.99
24	20%	15	0.7
24	20%	22	0.45
24	20%	29	0.15
24	20%	38	0.05
25	20%	1	0.5
25	20%	4	0.4
25	20%	7	0.3
25	20%	13	0.2
25	20%	20	0.001
26	20%	1	0.9
26	20%	4	0.999
26	20%	14	0.9
26	20%	29	0.75
26	20%	78	0.001
27	15%	1	0.75
27	15%	4	0.75
27	15%	9	0.75
27	15%	23	0.5
27	15%	36	0.2
27	15%	54	0.001
28	20%	1	0.9
28	20%	2	0.9
28	20%	25	0.25
29	20%	1	0.95
29	20%	5	0.6
29	20%	13	0.35
29	20%	27	0.225
29	20%	33	0.2
30	20%	1	0.999
30	20%	3	0.9
30	20%	9	0.6
31	25%	1	0.9
31	25%	2	0.9
31	25%	3	0.9
31	25%	4	0.9
31	25%	5	0.9
31	25%	7	0.95
31	25%	9	0.95
31	25%	11	0.8
31	25%	15	0.8
31	25%	18	0.75
31	25%	24	0.5
31	25%	28	0.45
31	25%	36	0.33
31	25%	42	0.125
31	25%	49	0.125
