tree3	tree11	tree17	tree28	tree30	tree31	tree37	tree44	tree52	tree57	tree59	tree61	tree62	tree65	tree72	tree77	tree84	tree85
25.146	6.604	18.034	18.034	17.78	21.844	7.112	11.176	5.842	18.542	14.732	20.32	17.018	13.462	2.54	4.318	14.478	6.604
36.83	10.414	24.13	24.892	25.654	28.956	11.43	14.986	11.43	24.13	20.574	28.194	23.368	22.86	5.588	8.128	17.526	11.684
43.942	14.986	29.21	30.988	33.528	36.068	19.304	21.336	16.256	30.988	26.67	35.56	28.702	30.226	10.414	11.938	22.098	17.526
48.514	20.32	31.242	42.418	38.354	39.878	24.892	25.654	20.574	38.608	31.242	41.91	33.782	38.354	21.082	15.748	28.956	24.892
54.61	24.13	35.56	48.26	43.942	49.53	29.21	32.766	22.606	45.212	37.338	46.99	37.592	44.958	31.75	20.066	34.29	31.75
56.642	28.956	39.878	54.102	46.482	57.404	34.544	39.116	25.654	51.308	41.91	50.8	39.624	50.292	42.164	25.146	38.1	36.322
63.246	32.258	44.958	60.198	50.292	66.294	38.608	48.006	29.718	59.182	48.006	54.864	42.926	54.102	51.562	30.734	43.688	43.942
66.294	34.798	48.514	63.5	53.34	72.39	42.672	51.054	32.766	64.262	52.324	58.166	45.72	58.42	58.42	35.306	48.006	48.514
68.58	36.83	52.324	66.294	56.642	77.724	47.244	53.594	35.56	66.548	57.658	60.706	48.514	62.992	65.024	39.37	55.372	51.308
71.374	39.37	56.642	69.088	60.452	82.55	54.864	58.928	38.354	70.104	63.5	63.5	51.308	66.294	71.882	44.704	52.07	55.118
74.168	41.91	60.96	71.12	64.77	87.122	61.214	64.008	41.656	74.168	68.072	67.564	54.102	69.85	76.708	50.038	58.42	58.674
