Tree.ID	Age	Forest.ID	dbhib.cm	height.m
1	55	Clearwater	37.084	21.7627199669207
1	45	Clearwater	31.496	18.7147199715536
1	35	Clearwater	22.352	12.2224799814218
1	25	Clearwater	17.78	8.71727998674973
1	15	Clearwater	10.16	5.9740799909194
2	107	Clearwater	50.8	31.5163199520952
2	97	Clearwater	47.752	28.1025599572841
2	87	Clearwater	43.18	24.6278399625657
2	77	Clearwater	40.386	23.2257599646968
2	67	Clearwater	35.56	21.549359967245
2	57	Clearwater	29.718	17.2516799737774
2	47	Clearwater	26.924	13.1063999800783
2	37	Clearwater	20.32	10.8508799835067
2	27	Clearwater	15.748	8.93063998642543
2	17	Clearwater	8.636	4.9377599924946
3	130	Clearwater	74.168	48.2498399266602
3	120	Clearwater	71.374	42.3367199356482
3	110	Clearwater	68.58	40.2335999388449
3	100	Clearwater	66.294	38.1304799420417
3	90	Clearwater	63.246	36.3016799448214
3	80	Clearwater	56.642	33.3146399493617
3	70	Clearwater	54.61	31.6382399519099
3	60	Clearwater	48.514	28.8645599561259
3	50	Clearwater	43.942	26.6699999594616
3	40	Clearwater	36.83	22.7685599653918
3	30	Clearwater	25.146	17.3735999735921
3	20	Clearwater	11.684	11.6128799823484
4	83	St. Joe	46.736	33.0403199497787
4	73	St. Joe	43.688	30.7238399532998
4	63	St. Joe	39.624	28.5597599565892
4	53	St. Joe	34.798	26.1518399602492
4	43	St. Joe	29.464	22.097999966411
4	33	St. Joe	21.59	15.3619199766499
4	23	St. Joe	13.462	8.41247998721303
4	13	St. Joe	7.112	5.42543999175333
5	64	St. Joe	33.782	26.2127999601565
5	54	St. Joe	26.924	20.3301599690982
5	44	St. Joe	18.288	14.1731999784567
5	34	St. Joe	12.192	9.96695998485022
5	24	St. Joe	7.874	6.15695999064142
5	14	St. Joe	3.302	2.682239995923
6	92	Kaniksu	50.546	37.1855999434779
6	82	Kaniksu	47.244	34.5947999474159
6	72	Kaniksu	41.148	31.6687199518635
6	62	Kaniksu	36.068	29.687519954875
6	52	Kaniksu	31.242	27.8891999576084
6	42	Kaniksu	23.876	25.1764799617317
6	32	Kaniksu	17.272	20.3301599690982
6	22	Kaniksu	12.446	12.1919999814682
6	12	Kaniksu	6.604	5.63879999142902
7	72	Kaniksu	55.88	40.3555199386596
7	62	Kaniksu	49.53	37.0941599436169
7	52	Kaniksu	42.672	33.9851999483425
7	42	Kaniksu	35.56	31.3029599524195
7	32	Kaniksu	26.67	26.9747999589983
7	22	Kaniksu	16.51	18.4403999719706
7	12	Kaniksu	7.62	8.29055998739835
11	122	Coeur dAlene	41.91	27.0357599589056
11	112	Coeur dAlene	39.37	25.4203199613611
11	102	Coeur dAlene	36.83	23.8658399637239
11	92	Coeur dAlene	34.798	22.7075999654844
11	82	Coeur dAlene	32.258	21.2445599677083
11	72	Coeur dAlene	28.956	20.0253599695615
11	62	Coeur dAlene	24.13	19.049999971044
11	52	Coeur dAlene	20.32	17.6783999731288
11	42	Coeur dAlene	14.986	13.8379199789664
11	32	Coeur dAlene	10.414	9.08303998619378
11	22	Coeur dAlene	6.604	5.51687999161434
12	97	Coeur dAlene	49.784	31.2115199525585
12	87	Coeur dAlene	45.212	28.9864799559405
12	77	Coeur dAlene	40.132	26.3042399600176
12	67	Coeur dAlene	35.56	24.2925599630753
12	57	Coeur dAlene	32.766	21.9455999666427
12	47	Coeur dAlene	24.638	15.9715199757233
12	37	Coeur dAlene	18.542	11.3995199826727
12	27	Coeur dAlene	12.192	7.65047998837127
12	17	Coeur dAlene	7.62	4.20623999360652
13	90	Coeur dAlene	44.704	31.6077599519562
13	80	Coeur dAlene	40.894	29.0474399558479
13	70	Coeur dAlene	36.322	26.2127999601565
13	60	Coeur dAlene	30.988	21.9455999666427
13	50	Coeur dAlene	24.638	16.001999975677
13	40	Coeur dAlene	16.764	10.0888799846649
13	30	Coeur dAlene	11.43	7.37615998878824
13	20	Coeur dAlene	6.604	5.73023999129004
15	57	St. Joe	26.416	24.3535199629826
15	47	St. Joe	23.876	21.3359999675693
15	37	St. Joe	18.542	18.2879999722022
15	27	St. Joe	15.24	14.6303999777618
15	17	St. Joe	10.414	10.5155999840163
17	127	Clearwater	60.96	34.4423999476476
17	117	Clearwater	56.642	32.8879199500104
17	107	Clearwater	52.324	31.4553599521879
17	97	Clearwater	48.514	29.961839954458
17	87	Clearwater	44.958	28.5902399565428
17	77	Clearwater	39.878	25.7555999608515
17	67	Clearwater	35.56	24.4449599628437
17	57	Clearwater	31.242	22.8904799652065
17	47	Clearwater	29.21	21.915119966689
17	37	Clearwater	24.13	19.232879970766
17	27	Clearwater	18.034	14.3865599781324
17	17	Clearwater	11.176	8.68679998679606
18	46	Clearwater	27.432	24.9326399621024
18	36	Clearwater	20.32	18.6537599716463
18	26	Clearwater	11.938	10.54607998397
18	16	Clearwater	6.35	4.60247999300423
19	172	Coeur dAlene	67.818	45.6590399305983
19	162	Coeur dAlene	64.516	44.0740799330074
19	152	Coeur dAlene	61.722	42.2452799357872
19	142	Coeur dAlene	58.928	40.1726399389376
19	132	Coeur dAlene	56.134	38.465759941532
19	122	Coeur dAlene	49.022	36.1492799450531
19	112	Coeur dAlene	44.45	34.1680799480645
19	102	Coeur dAlene	39.878	31.9430399514466
19	92	Coeur dAlene	34.036	28.3463999569135
19	82	Coeur dAlene	29.718	24.6583199625194
